state,latitude,longitude
Alabama,35.0041,-88.1955
Alabama,34.9918,-85.6068
Alabama,32.8404,-85.1756
Alabama,32.2593,-84.8927
Alabama,32.1535,-85.0342
Alabama,31.7947,-85.1358
Alabama,31.52,-85.0438
Alabama,31.3384,-85.0836
Alabama,31.2093,-85.107
Alabama,31.0023,-84.9944
Alabama,30.9953,-87.6009
Alabama,30.9423,-87.5926
Alabama,30.8539,-87.6256
Alabama,30.6745,-87.4072
Alabama,30.4404,-87.3688
Alabama,30.1463,-87.524
Alabama,30.1546,-88.3864
Alabama,31.8939,-88.4743
Alabama,34.8938,-88.1021
Alabama,34.9479,-88.1721
Alabama,34.9107,-88.1461
Arkansas,33.0225,-94.0416
Arkansas,33.0075,-91.2057
Arkansas,33.118,-91.1989
Arkansas,33.1824,-91.1041
Arkansas,33.3053,-91.1343
Arkansas,33.4211,-91.1646
Arkansas,33.4337,-91.2263
Arkansas,33.5403,-91.2524
Arkansas,33.6112,-91.1797
Arkansas,33.6855,-91.2524
Arkansas,33.6946,-91.1261
Arkansas,33.7883,-91.1412
Arkansas,33.77,-91.0451
Arkansas,33.8328,-91.0341
Arkansas,33.9399,-91.0863
Arkansas,34.0208,-90.9256
Arkansas,34.0856,-90.9036
Arkansas,34.1345,-90.9586
Arkansas,34.1675,-90.9132
Arkansas,34.138,-90.8501
Arkansas,34.2311,-90.9325
Arkansas,34.3446,-90.6935
Arkansas,34.4409,-90.5603
Arkansas,34.5348,-90.5548
Arkansas,34.5959,-90.5768
Arkansas,34.7213,-90.5301
Arkansas,34.7574,-90.5328
Arkansas,34.878,-90.4546
Arkansas,34.8454,-90.3529
Arkansas,34.869,-90.2911
Arkansas,35.0255,-90.3104
Arkansas,35.1154,-90.2843
Arkansas,35.1323,-90.1772
Arkansas,35.1985,-90.1112
Arkansas,35.2826,-90.1524
Arkansas,35.4383,-90.1332
Arkansas,35.5579,-90.0206
Arkansas,35.674,-89.978
Arkansas,35.7287,-89.9547
Arkansas,35.9169,-89.6594
Arkansas,35.9658,-89.6883
Arkansas,36.0013,-89.713
Arkansas,35.9958,-90.3735
Arkansas,36.1268,-90.2664
Arkansas,36.2875,-90.0934
Arkansas,36.3892,-90.0742
Arkansas,36.418,-90.1511
Arkansas,36.4997,-90.1566
Arkansas,36.4986,-94.6198
Arkansas,35.3801,-94.4412
Arkansas,33.6318,-94.4893
Arkansas,33.6421,-94.4522
Arkansas,33.5597,-94.4
Arkansas,33.5883,-94.2462
Arkansas,33.5872,-94.1885
Arkansas,33.5345,-94.0375
Arkansas,33.4314,-94.043
Arkansas,33.0213,-94.043
Arizona,36.9993,-112.5989
Arizona,37.0004,-110.863
Arizona,37.0004,-109.0475
Arizona,31.3325,-109.0503
Arizona,31.3325,-111.0718
Arizona,32.4935,-114.8126
Arizona,32.5184,-114.8099
Arizona,32.5827,-114.8044
Arizona,32.6246,-114.7992
Arizona,32.67,-114.7474
Arizona,32.7457,-114.7014
Arizona,32.7342,-114.6176
Arizona,32.7422,-114.5819
Arizona,32.7584,-114.5393
Arizona,32.8167,-114.5095
Arizona,32.845,-114.4696
Arizona,32.9107,-114.4817
Arizona,32.9741,-114.4803
Arizona,33.0317,-114.5256
Arizona,33.0259,-114.6094
Arizona,33.0317,-114.6588
Arizona,33.0904,-114.7096
Arizona,33.2065,-114.6849
Arizona,33.2846,-114.722
