state,latitude,longitude,language
New York,42.5142,-74.7624,Spark
New York,42.7783,-74.0672,Spark
New York,42.8508,-74.9313,Spark
New York,42.9061,-74.9024,Spark
New York,42.9554,-74.9313,Spark
New York,42.9584,-74.9656,Spark
New York,42.9886,-74.0219,Spark
New York,43.0568,-74.0027,Spark
New York,43.0769,-74.0727,Spark
New York,43.122,-74.0713,Spark
New York,43.1441,-74.0302,Spark
New York,43.1801,-74.0576,Spark
New York,43.2482,-75.0604,Python
New York,43.2812,-75.0837,Python
New York,43.4509,-75.2004,Python
New York,43.6311,-76.6909,Python
New York,43.6321,-74.7958,Python
New York,43.9987,-75.4978,Python
New York,44.0965,-74.4388,Python
New York,44.1349,-73.9536,R
New York,44.1989,-75.3124,R
New York,44.2049,-75.2437,R
New York,44.9648,-74.3379,R
New York,44.916,-74.3396,R
New York,44.8354,-74.3739,R
New York,44.8013,-75.3324,R
New York,44.7419,-75.3667,R
New York,44.6139,-74.3873,R
New York,44.5787,-74.3736,R
New York,44.4916,-74.3049,R
New York,44.4289,-74.2953,R
New York,44.3513,-75.3365,R
New York,44.2757,-75.3118,R
New York,44.198,-74.3818,Python
New York,44.1142,-74.4079,Python
New York,44.0511,-74.4367,Python
New York,44.0165,-75.4065,Python
New York,43.9375,-75.4079,Python
New York,43.8771,-75.3749,Python
New York,43.8167,-75.3914,Python
New York,43.779,-75.3557,Python
New York,43.646,-75.4244,Python
New York,43.5893,-75.434,Python
New York,43.5655,-75.3969,Python
New York,43.6112,-75.3818,Spark
New York,43.6271,-75.3049,Spark
New York,43.5764,-75.3063,Spark
New York,43.5675,-75.2582,Spark
New York,43.5227,-75.2445,Spark
New York,43.2582,-75.2582,Spark
New York,42.9715,-75.2733,Spark
New York,42.8004,-75.2898,Spark
